year,highest_qualification,age,sex,joint_probability_qual_age_sex,duration,unemployed_age,probability_age,unemployed_qual,probability_qual,hybrid_probability,estimated_unemployed
2010,degree,15-24,male,1777.8761061946902,52 and over,100.0,0.012195121951219513,900.0,0.09183673469387756,0.05201592832254853,92.47787610619469
2010,degree,15-24,male,1777.8761061946902,under 5,4700.0,0.573170731707317,3200.0,0.32653061224489793,0.4498506719761075,799.7787610619469
2010,degree,25-29,female,1674.936061381074,10 to 14,400.0,0.06779661016949153,900.0,0.08108108108108109,0.0744388456252863,124.68030690537083
2010,degree,25-29,female,1674.936061381074,15 to 19,100.0,0.01694915254237288,500.0,0.04504504504504504,0.03099709879370896,51.91815856777493
2010,degree,25-29,female,1674.936061381074,20 to 24,600.0,0.1016949152542373,1400.0,0.12612612612612611,0.1139105206901817,190.79283887468029
2010,degree,25-29,female,1674.936061381074,25 to 29,100.0,0.01694915254237288,200.0,0.018018018018018018,0.01748358528019545,29.283887468030688
2010,degree,25-29,female,1674.936061381074,30 to 39,100.0,0.01694915254237288,200.0,0.018018018018018018,0.01748358528019545,29.283887468030688
2010,degree,25-29,female,1674.936061381074,40 to 51,200.0,0.03389830508474576,700.0,0.06306306306306306,0.048480684073904406,81.20204603580561
2010,degree,25-29,female,1674.936061381074,5 to 9,1600.0,0.2711864406779661,2500.0,0.22522522522522523,0.24820583295159565,415.7289002557544
2010,degree,25-29,female,1674.936061381074,52 and over,600.0,0.1016949152542373,700.0,0.06306306306306306,0.08237898915865018,137.97953964194372
2010,degree,25-29,female,1674.936061381074,under 5,2200.0,0.3728813559322034,4000.0,0.36036036036036034,0.36662085814628187,614.0664961636828
2010,degree,25-29,male,1452.6548672566369,10 to 14,700.0,0.1044776119402985,1000.0,0.10204081632653061,0.10325921413341456,149.99999999999997
2010,degree,25-29,male,1452.6548672566369,15 to 19,400.0,0.05970149253731343,500.0,0.05102040816326531,0.05536095035028937,80.42035398230087
2010,degree,25-29,male,1452.6548672566369,20 to 24,200.0,0.029850746268656716,1000.0,0.10204081632653061,0.06594578129759367,95.79646017699113
2010,degree,25-29,male,1452.6548672566369,25 to 29,200.0,0.029850746268656716,200.0,0.02040816326530612,0.02512945476698142,36.504424778761056
2010,degree,25-29,male,1452.6548672566369,30 to 39,200.0,0.029850746268656716,400.0,0.04081632653061224,0.03533353639963448,51.327433628318566
2010,degree,25-29,male,1452.6548672566369,40 to 51,300.0,0.04477611940298507,600.0,0.061224489795918366,0.05300030459945172,76.99115044247786
2010,degree,25-29,male,1452.6548672566369,5 to 9,1200.0,0.1791044776119403,2000.0,0.20408163265306123,0.19159305513250074,278.31858407079636
2010,degree,25-29,male,1452.6548672566369,52 and over,400.0,0.05970149253731343,900.0,0.09183673469387756,0.07576911361559549,110.0663716814159
2010,degree,25-29,male,1452.6548672566369,under 5,3100.0,0.4626865671641791,3200.0,0.32653061224489793,0.3946085897045385,573.230088495575
2010,degree,30-39,female,2214.3222506393863,10 to 14,1100.0,0.14102564102564102,900.0,0.08108108108108109,0.11105336105336105,245.90792838874683
2010,degree,30-39,female,2214.3222506393863,15 to 19,400.0,0.05128205128205128,500.0,0.04504504504504504,0.04816354816354816,106.64961636828644
2010,degree,30-39,female,2214.3222506393863,20 to 24,1100.0,0.14102564102564102,1400.0,0.12612612612612611,0.13357588357588357,295.78005115089513
2010,degree,30-39,female,2214.3222506393863,25 to 29,200.0,0.02564102564102564,200.0,0.018018018018018018,0.02182952182952183,48.337595907928396
2010,degree,30-39,female,2214.3222506393863,30 to 39,200.0,0.02564102564102564,200.0,0.018018018018018018,0.02182952182952183,48.337595907928396
2010,degree,30-39,female,2214.3222506393863,40 to 51,500.0,0.0641025641025641,700.0,0.06306306306306306,0.06358281358281358,140.7928388746803
2010,degree,30-39,female,2214.3222506393863,5 to 9,1500.0,0.19230769230769232,2500.0,0.22522522522522523,0.20876645876645877,462.27621483375964
2010,degree,30-39,female,2214.3222506393863,52 and over,300.0,0.038461538461538464,700.0,0.06306306306306306,0.05076230076230076,112.40409207161126
